epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1216,0.87725,0.58805,2.16637,1.44767,0.8384,0.89313,0.96297,0.69354,0.83289,0.88822,0.95865,0.79938,0.88362,0.79777,1.07185,1.38841,0.000553586,0.000553586,0.000553586
2,96.1013,0.79851,0.40379,0.94258,1.32445,0.87387,0.89394,0.9388,0.65727,0.85947,0.93375,0.95406,0.81025,0.97815,0.56845,0.8201,1.47309,0.00109553,0.00109553,0.00109553
3,142.597,0.77055,0.39337,0.63015,1.2867,0.94251,0.96777,0.98191,0.75798,0.94291,0.96441,0.98186,0.85653,0.81313,0.55079,0.58831,1.28155,0.00162371,0.00162371,0.00162371
4,189.011,0.71147,0.37727,0.51809,1.23082,0.96743,0.98159,0.99223,0.80373,0.96863,0.98281,0.99209,0.91797,0.73215,0.34754,0.49856,1.21099,0.00160511,0.00160511,0.00160511
5,235.475,0.63303,0.3561,0.45058,1.16536,0.97606,0.97425,0.99179,0.84487,0.96161,0.99041,0.99163,0.92422,0.60205,0.33929,0.43557,1.10948,0.00158448,0.00158448,0.00158448
6,281.827,0.59783,0.32973,0.41027,1.12737,0.98991,0.99264,0.99445,0.8701,0.98891,0.99141,0.99441,0.94543,0.5485,0.30584,0.38098,1.03907,0.00156385,0.00156385,0.00156385
7,328.205,0.5524,0.30512,0.37645,1.08832,0.97821,0.99206,0.99438,0.88194,0.97946,0.99327,0.99422,0.95005,0.52335,0.31662,0.37157,1.0244,0.00154323,0.00154323,0.00154323
8,374.615,0.53196,0.29873,0.36063,1.06842,0.96343,0.97711,0.98992,0.83439,0.96586,0.97997,0.9915,0.90841,0.62606,0.3525,0.4322,1.13549,0.0015226,0.0015226,0.0015226
9,420.991,0.49084,0.28543,0.33427,1.04096,0.98384,0.98773,0.99414,0.90117,0.98628,0.99018,0.99429,0.94216,0.46948,0.28988,0.32354,0.99068,0.00150197,0.00150197,0.00150197
10,467.405,0.47654,0.27722,0.32189,1.0216,0.99236,0.99631,0.99335,0.9112,0.99236,0.99631,0.99298,0.95532,0.46315,0.26908,0.30633,0.96879,0.00148134,0.00148134,0.00148134
11,513.837,0.46167,0.27709,0.31332,1.00925,0.99473,0.99411,0.99489,0.91189,0.99473,0.99411,0.99489,0.95465,0.47031,0.26777,0.30382,0.99457,0.00146071,0.00146071,0.00146071
